Name,SMILES,BSEP,HERG,BBB,PDK1,HIVPRO
50774880,CC(C[C@@H](C(N[C@H](C(N1[C@H](C(N[C@@H](C(=O)N)C)=O)CCC1)=O)CCCNC(=N)N)=O)NC([C@H](NC([C@@H](NC([C@@H](NC([C@H](NC([C@H](NC([C@H](NC(=O)C)Cc2cc(cccc3)c3cc2)=O)Cc4ccc(Cl)cc4)=O)Cc5cnccc5)=O)CO)=O)Cc6ccc(O)cc6)=O)CCCNC(=O)N)=O)C,1,,,,
50775624,CC(c1n(CC[C@H](C[C@H](CC(=O)O)O)O)c(c2ccc(F)cc2)c(c3ccccc3)c1C(Nc4ccccc4)=O)C,1,,,,
51026635,CC(C1C(=O)OC(C(C)C)C(=O)NC(C(C)C)C(=O)OC(C)C(=O)NC(C(C)C)C(=O)OC(C(C)C)C(=O)NC(C(C)C)C(=O)OC(C)C(=O)NC(C(C)C)C(=O)OC(C(C)C)C(=O)NC(C(C)C)C(=O)OC(C)C(=O)N1)C,1,,,,
50739202,CC(OC(C(Oc1ccc(C(c2ccc(Cl)cc2)=O)cc1)(C)C)=O)C,1,,,,
50775607,CC(OC(CCC\C=C/C[C@@H]1[C@@H](CC[C@H](CCc2ccccc2)O)[C@H](O)C[C@@H]1O)=O)C,1,,,,
50774824,CC[C@H](N1C(=O)N(c2ccc(N3CCN(c4ccc(OC[C@H]5C[C@@](c6c(F)cc(F)cc6)(Cn7ncnc7)OC5)cc4)CC3)cc2)C=N1)[C@@H](O)C,1,,,,
50775610,CC[C@@H](C(=O)C[C@H](O)[C@@H](C)[C@@H](\C(=C\[C@H]1C[C@@H](OC)[C@@H](Cl)CC1)\C)OC(=O)[C@H](CCCC2)N2C(=O)C(=O)[C@]3(O)O[C@@H]([C@@H](OC)C[C@H]3C)[C@@H](OC)C[C@H]4C)\C=C(\C4)/C,1,,,,
50243562,CC[C@H]1C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H]([C@H](CN2CCN(CCOC)CC2)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H]([C@@H]([C@@H](C\C=C\C)C)O)C(=O)N1,1,,,,
50243561,CC[C@H]1C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H]([C@@H]([C@@H](C\C=C\C)C)O)C(=O)N1,1,,,,
50739681,CC[C@H]1C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H]([C@@H]([C@@H](C\C=C\C)C)O)C(=O)N1,1,,,,
